title,year,authors,authors_string,doi,url,publication,pages,volume,issue,citation_count_CR,citation_count_entered,parsed,citations,citation,reference,use,publication_id,entry
Evidence for Opportunity Cost Neglect in the Poor.Opportunity Cost Neglect in the Poor,2017,,"Plantinga, Arnoud and Krijnen, Job M.T. and Zeelenberg, Marcel and Breugelmans, Seger M.",10.1002/bdm.2041,http://dx.doi.org/10.1002/bdm.2041,Journal of Behavioral Decision Making,65-73,31,1,10,NA,NA,NA,Plantinga et al. (2017),"Plantinga, A., Krijnen, J. M., Zeelenberg, M., Breugelmans, S. M. (2017). Evidence for Opportunity Cost Neglect in the Poor.Opportunity Cost Neglect in the Poor. Journal Of Behavioral Decision Making, 31(1). https://doi.org/10.1002/bdm.2041",original,1,"‘[Evidence for opportunity cost neglect in the poor](https://doi.org/10.1002/bdm.2041)’, Plantinga et al. (2019) with n=642. [citation=18(GS, November 2021)]​."
Incidental environmental anchors.,2008,,"Critcher, Clayton R. and Gilovich, Thomas",10.1002/bdm.586,http://dx.doi.org/10.1002/bdm.586,Journal of Behavioral Decision Making,241-251,21,3,103,NA,NA,NA,Critcher & Gilovich (2008),"Critcher, C. R., Gilovich, T. (2008). Incidental environmental anchors.. Journal Of Behavioral Decision Making, 21(3). https://doi.org/10.1002/bdm.586",original,2,"‘[Incidental environmental anchors](https://doi.org/10.1002/bdm.586)’, Critcher & Gilovich, 2008; 3 studies w. Between-subjects manipulation of incidental anchors, n = 265 (Study 1) + 207 (Study 2) + 194 (Study 3) = 666. [citations=261(Google Scholar, August 2022)]​."
Did They Earn It? Observing Unearned Luxury Consumption Decreases Brand Attitude When Observers Value Fairness.,2018,,"Lee, Saerom and Baumgartner, Hans and Winterich, Karen Page",10.1002/jcpy.1028,http://dx.doi.org/10.1002/jcpy.1028,Journal of Consumer Psychology,412-436,28,3,21,NA,NA,NA,Lee et al. (2018),"Lee, S., Baumgartner, H., Winterich, K. P. (2018). Did They Earn It? Observing Unearned Luxury Consumption Decreases Brand Attitude When Observers Value Fairness.. Journal Of Consumer Psychology, 28(3). https://doi.org/10.1002/jcpy.1028",original,3,"‘[Did they earn it? Observing unearned luxury consumption decreases brand attitude when observers value fairness](https://doi.org/10.1002/jcpy.1028)’, Lee et al. (2018) with n=164. [citation=23(GS, November 2021)]​."
A purely confirmatory replication study of structural brain-behavior correlations.,2015,,"Boekel, Wouter and Wagenmakers, Eric-Jan and Belay, Luam and Verhagen, Josine and Brown, Scott and Forstmann, Birte U.",10.1016/j.cortex.2014.11.019,http://dx.doi.org/10.1016/j.cortex.2014.11.019,Cortex,115-133,66,"2015, 5",121,NA,NA,NA,Boekel et al. (2015a),"Boekel, W., Wagenmakers, E., Belay, L., Verhagen, J., Brown, S., Forstmann, B. U. (2015). A purely confirmatory replication study of structural brain-behavior correlations.. Cortex, 66(2015, 5). https://doi.org/10.1016/j.cortex.2014.11.019",replication,4,"[Boekel et al. (2015)](https://doi.org/10.1016/j.cortex.2014.11.019) [n = 36, citations = 196 (GS, May, 2022]."
Using implicit goal priming to improve the quality of self-report data.,2005,,"Rasinski, Kenneth A. and Visser, Penny S. and Zagatsky, Maria and Rickett, Edith M.",10.1016/j.jesp.2004.07.001,http://dx.doi.org/10.1016/j.jesp.2004.07.001,Journal of Experimental Social Psychology,321-327,41,3,35,"citations = 111 (Google Scholar, October 2022)",NA,NA,Rasinski et al. (2005),"Rasinski, K. A., Visser, P. S., Zagatsky, M., Rickett, E. M. (2005). Using implicit goal priming to improve the quality of self-report data.. Journal Of Experimental Social Psychology, 41(3). https://doi.org/10.1016/j.jesp.2004.07.001",original,5,"‘Using implicit goal priming to improve the quality of self-report data’,[ Rasinski et al. (2005)](https://doi.org/10.1016/j.jesp.2004.07.001), between-subjects, _n_ = 64 [citations = 111 (Google Scholar, October 2022)]."
Cortico-striatal connections predict control over speed and accuracy in perceptual decision making.,2010,,"Forstmann, Birte U. and Anwander, Alfred and Schäfer, Andreas and Neumann, Jane and Brown, Scott and Wagenmakers, Eric-Jan and Bogacz, Rafal and Turner, Robert",10.1073/pnas.1004932107,http://dx.doi.org/10.1073/pnas.1004932107,Proceedings of the National Academy of Sciences,15916-15920,107,36,268,NA,NA,NA,Forstmann et al. (2010),"Forstmann, B. U., Anwander, A., Schäfer, A., Neumann, J., Brown, S., Wagenmakers, E., Bogacz, R., Turner, R. (2010). Cortico-striatal connections predict control over speed and accuracy in perceptual decision making.. Proceedings Of The National Academy Of Sciences, 107(36). https://doi.org/10.1073/pnas.1004932107",original,6,"[Forstmann et al. (2010) [](https://doi.org/10.1073/pnas.1004932107)n = 9, citations = 387 (GS, May 2022)]​."
Signing at the beginning makes ethics salient and decreases dishonest self-reports in comparison to signing at the end.,2012,,"Shu, Lisa L. and Mazar, Nina and Gino, Francesca and Ariely, Dan and Bazerman, Max H.",10.1073/pnas.1209746109,http://dx.doi.org/10.1073/pnas.1209746109,Proceedings of the National Academy of Sciences,15197-15200,109,38,230,"citations=482 (GS, June 2022)",NA,NA,Shu et al. (2012),"Shu, L. L., Mazar, N., Gino, F., Ariely, D., Bazerman, M. H. (2012). Signing at the beginning makes ethics salient and decreases dishonest self-reports in comparison to signing at the end.. Proceedings Of The National Academy Of Sciences, 109(38). https://doi.org/10.1073/pnas.1209746109",original,7,"‘[Signing at the beginning makes ethics salient and decreases dishonest self-reports in comparison to signing at the end](https://www.pnas.org/doi/full/10.1073/pnas.1209746109)’, Shu, Mazar, Gino, Ariely, and Bazerman 2012 (Retracted 09/2021); 3 experiments with study n’s 1: 101; 2: 60; 3: 13,488. [citations=482 (GS, June 2022)]"
Empirical audit and review and an assessment of evidentiary value in research on the psychological consequences of scarcity.,2021,,"O’Donnell, Michael and Dev, Amelia S. and Antonoplis, Stephen and Baum, Stephen M. and Benedetti, Arianna H. and Brown, N. Derek and Carrillo, Belinda and Choi, Andrew L. and Connor, Paul and Donnelly, Kristin and Ellwood-Lowe, Monica E. and Foushee, Ruthe and Jansen, Rachel and Jarvis, Shoshana N. and Lundell-Creagh, Ryan and Ocampo, Joseph M. and Okafor, Gold N. and Azad, Zahra Rahmani and Rosenblum, Michael and Schatz, Derek and Stein, Daniel H. and Wang, Yilu and Moore, Don A. and Nelson, Leif D.",10.1073/pnas.2103313118,http://dx.doi.org/10.1073/pnas.2103313118,Proceedings of the National Academy of Sciences,NA,118,44,8,NA,NA,NA,O’Donnell et al. (2021a),"O’Donnell, M., Dev, A. S., Antonoplis, S., Baum, S. M., Benedetti, A. H., Brown, N. D., Carrillo, B., Choi, A. L., Connor, P., Donnelly, K., Ellwood-Lowe, M. E., Foushee, R., Jansen, R., Jarvis, S. N., Lundell-Creagh, R., Ocampo, J. M., Okafor, G. N., Azad, Z. R., Rosenblum, M., Schatz, D., Stein, D. H., Wang, Y., Moore, D. A., Nelson, L. D. (2021). Empirical audit and review and an assessment of evidentiary value in research on the psychological consequences of scarcity.. Proceedings Of The National Academy Of Sciences, 118(44). https://doi.org/10.1073/pnas.2103313118",replication,8,"[O’Donnell et al. 2021](https://doi.org/10.1073/pnas.2103313118) [n=304, citations=0(GS, November 2021)]."
The existential cost of economic insecurity: Threatened financial security undercuts meaning.,2016,,"Abeyta, Andrew A. and Routledge, Clay and Kersten, Michael and Cox, Cathy R.",10.1080/00224545.2016.1270892,http://dx.doi.org/10.1080/00224545.2016.1270892,The Journal of Social Psychology,692-702,157,6,9,NA,NA,NA,Abeyta et al. (2016),"Abeyta, A. A., Routledge, C., Kersten, M., Cox, C. R. (2016). The existential cost of economic insecurity: Threatened financial security undercuts meaning.. The Journal Of Social Psychology, 157(6). https://doi.org/10.1080/00224545.2016.1270892",original,9,"‘[The existential cost of economic insecurity: Threatened financial security undercuts meaning](https://doi.org/10.1080/00224545.2016.1270892)’, Abeyta et al. (2017) with n=121. [citations=8(GS, November 2021)]​."
Handedness as a major determinant of functional cradling bias.,2006,,"van der Meer, Audrey and Husby, Åsmund",10.1080/13576500500513565,http://dx.doi.org/10.1080/13576500500513565,"Laterality: Asymmetries of Body, Brain and Cognition",263-276,11,3,44,NA,NA,NA,van der Meer & Husby (2006),"van der Meer, A., Husby, Å. (2006). Handedness as a major determinant of functional cradling bias.. Laterality: Asymmetries Of Body, Brain And Cognition, 11(3). https://doi.org/10.1080/13576500500513565",original,10,"Handedness as a major determinant of functional cradling bias, [van de Meer & Husby (2007)](https://www.tandfonline.com/doi/full/10.1080/13576500500513565?casa_token=JmBY4cKhwcUAAAAA%3AEiko-Fy4woaiDdV_N7INojc6nRquY37yHHonu2673DSBKMd5gG0pdq8_J-TOnkgjKuXcQp7nRD1ccrY), laboratory study in which 765 left- and right-handers were asked to cradle a baby doll. Side of holding was recorded in the studies [citations = 67(GS, June 2022)]​."
Reframing the ordinary: Imagining time as scarce increases well-being.,2017,,"Layous, Kristin and Kurtz, Jaime and Chancellor, Joseph and Lyubomirsky, Sonja",10.1080/17439760.2017.1279210,http://dx.doi.org/10.1080/17439760.2017.1279210,The Journal of Positive Psychology,301-308,13,3,7,NA,NA,NA,Layous et al. (2017),"Layous, K., Kurtz, J., Chancellor, J., Lyubomirsky, S. (2017). Reframing the ordinary: Imagining time as scarce increases well-being.. The Journal Of Positive Psychology, 13(3). https://doi.org/10.1080/17439760.2017.1279210",original,11,"‘[Reframing the ordinary: Imagining time as scarce increases well-being](https://doi.org/10.1080/17439760.2017.1279210)’, Layous et al. (2018) with n=111. [citation=22(GS, November 2021)]​."
Squeezed: Coping with Constraint through Efficiency and Prioritization.,2015,,"Fernbach, Philip M. and Kan, Christina and Lynch, John G.",10.1086/679118,http://dx.doi.org/10.1086/679118,Journal of Consumer Research,1204-1227,41,5,64,NA,NA,NA,Fernbach et al. (2015),"Fernbach, P. M., Kan, C., Lynch, J. G. (2015). Squeezed: Coping with Constraint through Efficiency and Prioritization.. Journal Of Consumer Research, 41(5). https://doi.org/10.1086/679118",original,12,"‘[Squeezed: Coping with constraint through efficiency and prioritization](https://doi.org/10.1086/679118)’, Fernbach et al. (2015) with n=102. [citation=114(GS, November 2021)]​."
Associations between Regional Cortical Thickness and Attentional Networks as Measured by the Attention Network Test.,2010,,"Westlye, Lars T. and Grydeland, Håkon and Walhovd, Kristine B. and Fjell, Anders M.",10.1093/cercor/bhq101,http://dx.doi.org/10.1093/cercor/bhq101,Cerebral Cortex,345-356,21,2,121,NA,NA,NA,Westlye et al. (2010),"Westlye, L. T., Grydeland, H., Walhovd, K. B., Fjell, A. M. (2010). Associations between Regional Cortical Thickness and Attentional Networks as Measured by the Attention Network Test.. Cerebral Cortex, 21(2). https://doi.org/10.1093/cercor/bhq101",original,13,"[ Westlye et al., (2011)](https://doi.org/10.1093/cercor/bhq101) [n = 132; citations = 190 (GS, May 2022)]​."
Seeking Lasting Enjoyment with Limited Money: Financial Constraints Increase Preference for Material Goods over Experiences.,2015,,"Tully, Stephanie M. and Hershfield, Hal E. and Meyvis, Tom",10.1093/jcr/ucv007,http://dx.doi.org/10.1093/jcr/ucv007,Journal of Consumer Research,59-75,42,1,93,NA,NA,NA,Tully et al. (2015),"Tully, S. M., Hershfield, H. E., Meyvis, T. (2015). Seeking Lasting Enjoyment with Limited Money: Financial Constraints Increase Preference for Material Goods over Experiences.. Journal Of Consumer Research, 42(1). https://doi.org/10.1093/jcr/ucv007",original,14,"‘[Seeking lasting enjoyment with limited money: Financial constraints increase preference for material goods over experiences](https://doi.org/10.1093/jcr/ucv007)’, Tully et al. (2015) with n=377. [citation=116(GS, November 2021)]."
Spending on Daughters versus Sons in Economic Recessions.,2015,,"Durante, Kristina M. and Griskevicius, Vladas and Redden, Joseph P. and Edward White, Andrew",10.1093/jcr/ucv023,http://dx.doi.org/10.1093/jcr/ucv023,Journal of Consumer Research,435-457,42,3,40,NA,NA,NA,Durante et al. (2015),"Durante, K. M., Griskevicius, V., Redden, J. P., Edward White, A. (2015). Spending on Daughters versus Sons in Economic Recessions.. Journal Of Consumer Research, 42(3). https://doi.org/10.1093/jcr/ucv023",original,15,"‘[Spending on daughters versus sons in economic recessions](https://doi.org/10.1093/jcr/ucv023)’, Durante et al. (2015) with n=198. [citation=57(GS, November 2021)]​."
On the Psychology of Scarcity: When Reminders of Resource Scarcity Promote Selfish (and Generous) Behavior.,2015,,"Roux, Caroline and Goldsmith, Kelly and Bonezzi, Andrea",10.1093/jcr/ucv048,http://dx.doi.org/10.1093/jcr/ucv048,Journal of Consumer Research,ucv048,NA,"2015, 9, 10",37,NA,NA,NA,Roux et al. (2015),"Roux, C., Goldsmith, K., Bonezzi, A. (2015). On the Psychology of Scarcity: When Reminders of Resource Scarcity Promote Selfish (and Generous) Behavior.. Journal Of Consumer Research(2015, 9, 10). https://doi.org/10.1093/jcr/ucv048",original,16,"‘[On the psychology of scarcity: When reminders of resource scarcity promote selfish (and generous) behavior](https://doi.org/10.1093/jcr/ucv048)’, Roux et al. (2015) with n=157. [citation=216(GS, November 2021)]​."
Creating When You Have Less: The Impact of Resource Scarcity on Product Use Creativity.,2015,,"Mehta, Ravi and Zhu, Meng",10.1093/jcr/ucv051,http://dx.doi.org/10.1093/jcr/ucv051,Journal of Consumer Research,767-782,42,5,81,NA,NA,NA,Mehta & Zhu (2015),"Mehta, R., Zhu, M. (2015). Creating When You Have Less: The Impact of Resource Scarcity on Product Use Creativity.. Journal Of Consumer Research, 42(5). https://doi.org/10.1093/jcr/ucv051",original,17,"‘[Creating when you have less: The impact of resource scarcity on product use creativity](https://doi.org/10.1093/jcr/ucv051)’, Mehta and Zhu (2016) with n=88. [citation=135(GS, November 2021)]​."
The Dark Side of Scarcity Promotions: How Exposure to Limited-Quantity Promotions Can Induce Aggression.,2016,,"Kristofferson, Kirk and McFerran, Brent and Morales, Andrea C. and Dahl, Darren W.",10.1093/jcr/ucw056,http://dx.doi.org/10.1093/jcr/ucw056,Journal of Consumer Research,ucw056,NA,"2016, 9, 28",15,NA,NA,NA,Kristofferson et al. (2016),"Kristofferson, K., McFerran, B., Morales, A. C., Dahl, D. W. (2016). The Dark Side of Scarcity Promotions: How Exposure to Limited-Quantity Promotions Can Induce Aggression.. Journal Of Consumer Research(2016, 9, 28). https://doi.org/10.1093/jcr/ucw056",original,18,"‘[The dark side of scarcity promotions: how exposure to limited-quantity promotions can induce aggression](https://doi.org/10.1093/jcr/ucw056)’, Kristofferson et al. (2017) with n=160. [citation=101(GS, November 2021)]​."
Eliciting Time versus Money: Time Scarcity Underlies Asymmetric Wage Rates.,2017,,"Monga, Ashwani and May, Frank and Bagchi, Rajesh",10.1093/jcr/ucx066,http://dx.doi.org/10.1093/jcr/ucx066,Journal of Consumer Research,833-852,44,4,14,NA,NA,NA,Monga et al. (2017),"Monga, A., May, F., Bagchi, R. (2017). Eliciting Time versus Money: Time Scarcity Underlies Asymmetric Wage Rates.. Journal Of Consumer Research, 44(4). https://doi.org/10.1093/jcr/ucx066",original,19,"‘[Eliciting time versus money: time scarcity underlies asymmetric wage rates](https://doi.org/10.1093/jcr/ucx066)’, Monga et al. (2017) with n=179. [citation=27(GS, November 2021)]​."
Online social network size is reflected in human brain structure.,2011,,"Kanai, R. and Bahrami, B. and Roylance, R. and Rees, G.",10.1098/rspb.2011.1959,http://dx.doi.org/10.1098/rspb.2011.1959,Proceedings of the Royal Society B: Biological Sciences,1327-1334,279,1732,194,NA,NA,NA,"Kanai, Bahrami et al. (2011)","Kanai, R., Bahrami, B., Roylance, R., Rees, G. (2011). Online social network size is reflected in human brain structure.. Proceedings Of The Royal Society B: Biological Sciences, 279(1732). https://doi.org/10.1098/rspb.2011.1959",original,20,"[Kanai et al., (2012)](https://doi.org/10.1098/rspb.2011.1959) [n = 125, citations: 411 (GS, May, 2022)]."
