publication_id,effect_id,use,description
25,7,original," 3 studies, 2 of which are split into Part A and Part B with n’s = 1A: 40 and 1B: 196 ; 2A: 32 and 2B: 230; Experiment 3: 70 [citations = 304 (GS, October 2021)]."
41,9,original," 3 experiments with Study 1: n = 89; Study 2: n = 155; Study 3: n = 78. [citations = ~ 1108(GS, November 2021)]."
5,15,original,"](https://doi.org/10.1016/j.jesp.2004.07.001), between-subjects, _n_ = 64 [citations = 111 (Google Scholar, October 2022)]."
28,18,original,": 3 experiments with Study 1: n = 5458; Study 2: n = 37; Study 3: n = 48. [citations = 37, (GS, January 2022)]."
24,28,original,", [n=20 for experiment 1, n=99 for experiment 2, n =57 for experiment 3; ~[722] citations, (GS, March 2022)]"
21,31,original,"[‘Domain-specific Effects of Stereotypes on Performance’](https://journals.sagepub.com/doi/10.1111/1467-9280.00111), Shih et al.1999"
41,39,original,NA
41,50,original,NA
41,54,original,"; Experiment 1: N = 80, two between-subjects conditions; Experiment 2: N = 80, two between-subjects conditions; Experiment 3: N = 160, four between-subjects conditions [citations = 66 (GS, June 2022)]"
2,58,original," 3 studies w. Between-subjects manipulation of incidental anchors, n = 265 (Study 1) + 207 (Study 2) + 194 (Study 3) = 666. [citations=261(Google Scholar, August 2022)]​."
41,70,original,"[n=70, citations= 2840 (GS, October 2022)]."
41,73,original," with n=36. [citations= 2110 (GS, November 2021)]."
26,75,original,"; 5 experiments with Study 1: n=60; Study 2: n=68; Study 3: n=143; Study 4: n=118; Study 5: n=137 [citations=1403 (GS, April 2022)]."
9,76,original," with n=121. [citations=8(GS, November 2021)]​."
35,77,original," with n=401. [citation=51(GS, November 2021)]​."
30,78,original,") Study 3, with n=231. [citation=103(GS, November 2021)]​."
34,79,original," Study 3 with n=152. [citation=54(GS, November 2021)]​."
11,80,original," with n=111. [citation=22(GS, November 2021)]​."
27,81,original," Study 4, with n=96. [citation=2332(GS, November 2021)]​."
1,82,original," with n=642. [citation=18(GS, November 2021)]​."
38,83,original," with n=568. [citation=78(GS, November 2021)]​."
29,84,original," with n=73. [citation=315(GS, November 2021)]​."
10,95,original,"](https://www.tandfonline.com/doi/full/10.1080/13576500500513565?casa_token=JmBY4cKhwcUAAAAA%3AEiko-Fy4woaiDdV_N7INojc6nRquY37yHHonu2673DSBKMd5gG0pdq8_J-TOnkgjKuXcQp7nRD1ccrY), laboratory study in which 765 left- and right-handers were asked to cradle a baby doll. Side of holding was recorded in the studies [citations = 67(GS, June 2022)]​."
41,96,original,"(https://www.sciencedirect.com/science/article/abs/pii/0006322385902161); study of hand preference in individuals with schizophrenia, depression and healthy controls, 225 schizophrenics and 432 controls. [citations=84(GS, June 2022)]​."
22,108,original,"; sample size = 614 (Experiment 1). [citations=1261(Google Scholar, June 2022)]​"
7,118,original,"(Retracted 09/2021); 3 experiments with study n’s 1: 101; 2: 60; 3: 13,488. [citations=482 (GS, June 2022)]"
41,126,original,"; 6 studies with n’s = 183; 142; 89; 269; 134; 104 [citations = 325 (GS, January 2022)]."
37,127,original,"; with n=199. [citation=26(GS, November 2021)]​."
15,128,original," with n=198. [citation=57(GS, November 2021)]​."
12,129,original," with n=102. [citation=114(GS, November 2021)]​."
18,130,original," with n=160. [citation=101(GS, November 2021)]​."
3,131,original," with n=164. [citation=23(GS, November 2021)]​."
17,132,original," with n=88. [citation=135(GS, November 2021)]​."
19,133,original," with n=179. [citation=27(GS, November 2021)]​."
16,134,original," with n=157. [citation=216(GS, November 2021)]​."
14,135,original," with n=377. [citation=116(GS, November 2021)]."
36,136,original," with n=200. [citation=114(GS, November 2021)]​."
20,139,original,"](https://doi.org/10.1098/rspb.2011.1959) [n = 125, citations: 411 (GS, May, 2022)]."
39,140,original,"](https://doi.org/10.1523/JNEUROSCI.5864-10.2011) [n = 155, citations: 110 (GS, May, 2022)]."
13,141,original,"](https://doi.org/10.1093/cercor/bhq101) [n = 132; citations = 190 (GS, May 2022)]​."
6,142,original," [](https://doi.org/10.1073/pnas.1004932107)n = 9, citations = 387 (GS, May 2022)]​."
41,144,original,", with _n_ = 21 autistic children, 5 Down's syndrome children, 27 neurotypical preschoolers. [n = 53; citation=1163 (GS, April 2022)]​."
23,148,original,"; 2 experiments, ns=50 in each experiment [citations=1473, GS, November 2021]."
41,158,original,"2 experiments with Study 1: N= 603; Study 2: N=377 [citation=18 (GS, February2022)]​."
41,7,replication,"(https://psycnet.apa.org/fulltext/2014-20922-002.html) [n=1146, citations = 957 (GS,October 2021)]"
33,9,replication,"(https://journals.sagepub.com/doi/pdf/10.1177/1745691616664694) [n = 2284, citations = 110(GS, November 2021)]."
41,15,replication,NA
