Discipline,Effect,Description,Replication effect size
Social Psychology,Elderly priming,that hearing about old age makes people walk slower,"Doyen: walking speed: _η2 _= .01/_d_  = 0.10 [calculated, using this [conversion](https://haiyangjin.github.io/2020/05/eta2d/#conversion-between-cohens-d-and-partial-eta-squared)]. Lakens: _r _= .29/_d _= .61. Pashler: not reported.​"
Social Psychology,Hostility priming (unscrambled sentences),Exposing participants to more hostility-related stimuli caused them subsequently to interpret ambiguous behaviours as more hostile,All effect sizes are located in McCarthy et al. 2018: Acar: _d _= 0.16. Aczel: _d _= 0.12. Birt: _d_ = -0.11. Evans: _d_ = -.22. Ferreira-Santos: _d_ = 0.01. Gonzalez-Iraizoz: _d_ = -.21. Holzmeister: _d_ = .11. Klein Selfe and Rozmann: _d_ = -0.51. Koppel: _d_ = -.14. Laine: _d_ = -.27. Loschelder: _XX_ =-.07. McCarthy: _d_ = -.10. Meijer: _d_ = .03. Ozdorgru: _d_ = .22.  Pennington: _d_ = -.52.  Roets: _d_ = -.01. Suchotzki: _d_ = .10.  Sutan: _d_ = .49. Vanpaemel: _d_ = .17. Verschuere: _d_ = -.14.  Wick: _d_ = .07. Wiggins: _d_ = .01. Average replication effect size: _d_ = -0.08. McCarthy et al. 2021: _d_ = 0.06.
Social Psychology,Intelligence priming (contemplation),professor priming).** Participants primed with a category associated with intelligence (e.g. “professor”) performed 13% better on a trivia test than participants primed with a category associated with a lack of intelligence (“soccer hooligans”,All effect sizes are located in O’Donnell et al. 2018: Aczel: PD = -1.35%. Aveyard: PD = -3.99%. Baskin: PD = 4.08%. Bialobrzeska: PD = -.12%. Boot: PD = -4.99%.  Braithwaite: PD = 4.01%. Chartier: PD = 3.23%. DiDonato: PD = 3.14%. Finnigan:  PD: 2.89%. Karpinski: PD = 1.38%. Keller: PD = .17%. Klein: PD =.88%.  Koppel: PD = -.20%. McLatchie: PD = -2.16%.  Newell: PD = 1.66%. O’Donnell: PD = 1.58%. Phillipp: PD = 43%. Ropovik: PD = -.48%. Saunders: PD = -1.87%. Schulte-Mecklenbeck: PD = 4.24%. Shanks: PD = .11%. Steele: PD = -.58%. Steffens: PD = -.84%. Susa: PD = -.63%. Tamayo: PD = 1.41%.  Meta-analytic estimate: PD = 0.02%. 
Social Psychology,Moral priming (cleanliness),Participants exposed to physical cleanliness were shown to reduce the severity of their moral judgments,"Johnson et al.: Study 1:  _d_ = -0.01 [-0.28, 0.26]; Study 2: _d_ = 0.01 [-0.34, 0.36]."
Social Psychology,Moral priming (contemplation),Participants exposed to a moral-reminder prime would demonstrate reduced cheating,"All effect sizes are located in Verschuere et al. 2018: **Commandants-cheat versus books-cheat**: Aczel: _d_ = -0.26 [-1.22, 0.69]. Birt: _d_ = 0.41 [-0.58, 1.39]. Evans: _d_ = 0.85 [-0.13, 1.83]. Ferreira-Santos: _d_ = -0.19 [-1.14, 0.77]. Gonzalez-Iraizoz: _d_ = 0.26[-0.77, 1.28]. Holzmeister: _d_ = 1.11[-0.30, 2.52]. Klein Selle and Rozmann: _d_ = -0.27 [-1.11, 0.58]. Koppel: _d_ = 0.39[-0.40, 1.17].  Laine: _d_ = -0.37 [-1.18, 0.44]. Loschelder: _d_ = -0.11[-0.86, 0.65]. McCarthy: _d_ = 0.57 [-0.87, 2.02]. Meijer: _d_ = -0.15 [-0.75, 0.44]. Ozdogru: _d_ = 1.19 [0.01, 2.37]. Suchotzki: _d_ = 0.00 [–0.93, 0.93]. Sutan: _d_ = 0.02[-0.79, 0.83]. Vanpaemel: _d_ = 0.17[-0.55, 0.88]. Verschuere: _d_ = 0.18 [-0.55, 0.91]. Wick: _d_ = -0.09 [-1.06, 0.87]. Wiggins: _d_ = 0.19 [-0.51, 0.90]. Meta-analytic estimate: _d_ =  0.11 [-0.09, 0.31]. **Commandants-cheat versus commandants-control: **Aczel: _d_ = 0.05 [-0.77, 0.88]. Birt: _d_ = 0.83 [-0.10, 1.75]. Evans: _d_ = 0.60 [-0.39, 1.59]. Ferreira-Santos: _d_ = -0.33 [-1.41, 0.74]. Gonzalez-Iraizoz: _d_ = 1.11 [0.14, 2.08]. Holzmeister: _d_ = 1.30 [-0.17, 2.78]. Klein Selle and Rozmann: _d_ = -0.15 [-0.79, 1.09]. Koppel: _d_ = 0.51 [-0.20, 1.22].  Laine: _d_ = 0.10 [-0.63, 0.83]. Loschelder: _d_ = -0.24 [-1.38, 0.90]. McCarthy: _d_ = 1.10 [-0.20, 2.41]. Meijer: _d_ = -0.31 [-0.89, 0.25]. Ozdogru: _d_ = 1.15 [-0.10, 2.41]. Suchotzki: _d_ = -0.05 [-0.86, 0.75]. Sutan: _d_ = 0.41 [-0.41, 1.23]. Vanpaemel: _d_ = 0.36 [-0.37, 1.09]. Verschuere: _d_ = 0.13 [-0.61, 0.87]. Wick: _d_ = -0.14 [-0.94, 0.67]. Wiggins: _d_ = -0.08 [-1.02, 0.87]. Meta-analytic estimate: _d_ =  0.24 [0.03, 0.44]."
Social Psychology,Distance priming,"Participants primed with distance compared to closeness produced greater enjoyment of media depicting embarrassment (Study 1), less emotional distress from violent media (Study 2), lower estimates of the number of calories in unhealthy food (Study 3), and weaker reports of emotional attachments to family members and hometowns (Study 4",Pashler: _ηp2_=0.009/_d_  = 0.009 [converted from partial eta squared to Cohen’s _d_ using this [conversion](https://haiyangjin.github.io/2020/05/eta2d/#conversion-between-cohens-d-and-partial-eta-squared)].
Social Psychology,Flag priming,Participants primed by a flag are more likely to be more in conservative positions than those in the control condition,All effect sizes are located in ManyLabs: Adams and Nelson: _d_ = .02. Bernstein: _d_ = 0.07. Bocian and Frankowska: _d_ = .19 (Study 1). Bocian and Franowska: _d_ = -.22 (Study 2). Brandt et al.: _d_ = .21. Brumbaugh and Storbeck: _d_ = -.22 (Study 1). Brumbaugh and Storbeck: _d_ = .02 (Study 2). Cemalcilar: _d_ = .14. Cheong: _d_ = -.11. Davis and Hicks: _d_ = -.27 (Study 1). Davis and Hicks: _d_ =-.03 (Study 2). Devos: _d_ = -.11. Furrow and Thompson: _d_ = .09. Hovermale and Joy-Gaba: _d_ = -.07.  Hunt and Krueger: _d_ = .27.  Huntsinger and Mallett: _d_ = .06. John and Skorinko: _d_ = .08.  Kappes: _d_ = .04. Klein et al.: _d_ = -.11. Kurtz: _d_ =.04.  Levitan: _d_ = -.01. Morris: _d_ = .09 Nier: _d_ =  -.45. Packard: _d_ = .04. Pilati: _d_ = 0.00. Rutchick: _d_ = -.07. Schmidt and Nosek (PI): _d_ =.03.  Schmidt and Nosek (MTURK): _d_ = .09. Schmidt and Nosek (UVA): _d_ = -.15. Smith: _d_ = .27. Swol: _d_ =-.03.  Vaughn: _d_ = -.17. Vianello and Galliani: _d_ =.49.  Vranka: _d_ = -.03. Wichman: _d_ = .11. Woodzicska: _d_ =-.09. Average replication effect size: _d_ = 0.03.
Social Psychology,Fluency priming,"Objects that are fluent (e.g., conceptually fluent, visually fluent) are perceived more concretely than objects that are disfluent (disfluent objects are perceived more abstractly","Klein et al.: _r_ = .02/_d_ = 0.04 [converted, using [escal](https://www.escal.site/)]."
Social Psychology,Money priming,"Images or phrases related to money cause increased faith in capitalism, and the belief that victims deserve their fate","Rohrer et al. (Experiment 1): _d_ = 0.07 [0.41, 0.27] for system justification, _d_ = 0.06 [-0.14, 0.25] for belief in a just world, _d_  = -0.06 for social dominance, social dominance: _d_ = 0.06 [0.37, 0.26], fair market ideology, _d_ = 0.14 [-0.23, 0.50]. For 47 preregistered experiments in Lodder: _g_ = 0.01 [-0.03, 0.05] for system justification, _g_ = 0.11 [-0.08, 0.3] for belief in a just world, _g_ = 0.07 [-0.02, 0.15] for fair market ideology."
Social Psychology,Commitment priming (recall),Participants exposed to a high-commitment prime would exhibit greater forgiveness,Cheung et al.: _d_ = -0.22.
Social Psychology,Mortality Salience,"Death Priming/Terror Management Theory). Reminders of death lead to subconscious changes in attitudes and behaviour, for example in the form of increased in-group bias and behaviour that serves to defend an individual’s cultural worldview","Klein et al.: Regardless of which exclusion criteria were used, the predicted effect was not observed, and the confidence interval was quite narrow: Exclusion Set 1: _Hedges’ g_ = 0.03 [-0.06, 0.12]; Exclusion Set 2: _Hedges’ g_ = 0.06 [-0.06, 0.17]; Exclusion Set 3: _Hedges’ g_ = 0.04 [-0.07, 0.16]; for this reason, they were unable to further assess if original author involvement influenced the replication results. Sætrevik & Sjåstad: _d _= -0.08 – 0.35 for outcome effects related to theoretical predictions. Rodríguez-Ferreiro et al.: _d_ = 0.09 [−0.26, 0.44], which was significantly different from the effect size of the original study, _d_ = 1.13 [0.17, 2.07], _z_ = 2.03, _p_ = 0.043. "
Social Psychology,Spatial priming for emotional closeness,Plotting points closer together led to participants reporting they were closer to their own family members than those who plotted points farther apart,Pashler et al.: _η2_ = 0.01/_d_ = 0.01 [converted from partial eta squared to Cohen’s _d_ using this [conversion](https://haiyangjin.github.io/2020/05/eta2d/#conversion-between-cohens-d-and-partial-eta-squared)]. Joy-Gaba et al.’s effect sizes are located in Open Science Collaboration 2015 for Study 4: _η2_ = .00/ _d_ = .00.
Social Psychology,Implicit God prime increases self-reported risky behaviour,Implicitly priming God using the scrambled-sentence paradigm increases self-reported risk taking,"Gervais et al.: Experiment 1a: _d_=0.14 [-0.07, 0.34]; Experiment 1b: _d_=-0.11 [-0.31, 0.09]."
Social Psychology,Implicit God prime increases actual risky behaviour,Implicitly priming God using the scrambled-sentence paradigm increases willingness to engage in risky behaviour for financial reward,"Gruneau Brulin et al: Experiment 1b: _d_=-0.11 [-0.31, 0.09]; Experiment 2b: _b_=0.14 [-0.07, 0.34]."
Social Psychology,Implicit religious priming,Implicitly priming god concepts by unscrambling sentences with words relating to religion increases prosocial behaviour in an anonymous economic game,"Billingsley et al.: Study 1: _g_ = -0.05; Study 2: _g_= -0.09. Gervais et al.: experiment 1a _d_=0.14 [-0.07, 0.34]; experiment 1b, _d_=-0.11 [-0.31, 0.09]. Gomes and McCullough: _d_=-0.06. Kupor et al.: experiment 1a _d_=0.574 [0.05, 1.09]; experiment 1b _d_=0.323 [0.04, 0.60]. Snell et al.: _r_ = .06. All reported in Snell et al.: Johnson et al.: Study 1 – _r_=0.13 [-0.09, 0.36], Study 2 – _r_=0.33 [0.06, 0.60]. LaBouff et al.: _r_=0.29 [0.10, 0.47]. Johnson et al.: _r_=0.29 [0.08, 0.51]. Clobert et al.: Study 2 – _r_=0.04 [-0.18, 0.27], Study 3 – _r_=0.12 [-0.09, 0.34]. Howard & Sommers: Study 1 – _r_=0.05 [-0.14, 0.24], Study 2 – _r_=0.12 [-0.02, 0.26]. Ramsay et al.: Study 1 – _r_=0.01 [-0.12, 0.14], Study 2 – _r_=0.03 [-0.16, 0.23]. Haggard et al.: Study 1 – _r_=0.10 [-0.01, 0.22], Study 2 – _r_=0.21 [0.03, 0.39], Study 3 – _r_=-0.08 [-0.25, 0.08], Study 4 – _r_=0.13 [-0.04, 0.30]. LaBouff: Study 1 – _r_=0.01 [-0.16, 0.18], Study 2 – _r_=0.13 [-0.08, 0.33]. Shamoa-Nir & Razpurker-Apfeld: Study 1 – _r_=0.03 [-0.26, 0.32], Study 2 – _r_=-0.22 [-0.51, 0.07], Study 3a – _r_=0.04 [-0.18, 0.26]. Johnson: Study 1 – _r_=0.03 [-0.11, 0.18], Study 2 – _r_=-0.01 [-0.17, 0.14]. Pope: Study 1 – _r_=0.20 [0.02, 0.38], Study 2 – _r_=0.06 [-0.14, 0.26]. Rutchick: _r_=0.07 [0.01, 0.12]. Basset & Van Tongeren: _r_=0.01 [-0.07, 0.08]. Erum & Tsang: _r_=-0.07 [-0.27, 0.13]. Al-Kire: Study 1 – _r_=0.27 [0.07, 0.47]. Ratchford & Al-Kire: Study 1 – _r_=-0.02 [-0.11, 0.08]. Shamoa-Nir & Razpurker-Apfeld: Study 3b – _r_=0.11 [-0.01, 0.23]. Jennings: _r_=-0.01 [-0.11, 0.09]. Dolinska et al.:_ r_=0.18 [0.06, 0.29]. Razpurker-Apfeld & Shamoa-Nir: _r_=0.14 [-0.06, 0.33]. Ginges et al.: Study 1 – _r_=0.05 [-0.02, 0.12], Study 2 – _r_=0.01 [-0.06, 0.08], Study 3 – _r_=0.01 [-0.04, 0.05]. Yilmaz et al.: _r_=0.30 [0.11, 0.50]. Bloom et al.: Study 1 – _r_=0.04 [-0.05, 0.14]. Deel: Study 1 – _r_=-0.13 [-0.30, 0.04]. Gilad & Stepanova: Study 1_ _–_ r_=0.02 [-0.14, 0.19]. Howard: Study 1_ _–_ r_=0.10 [-0.08, 0.28], Study 2b – _r_=-0.08 [-0.25, 0.10], Study 4 – _r_=-0.02 [-0.28, 0.23]. Van Tongeren et al.: Study 1 –_ r_=-0.04 [-0.33, 0.26]. Wilkins et al.: Study 2_ _–_ r_=0.08 [-0.03, 0.20]."
Social Psychology,Heat priming,Exposure to words related to hot temperatures increases aggressive thoughts and hostile perceptions. This effect suggests that people mentally associate heat-related constructs with aggression-related constructs,"McCarthy: Study 2A: _d_ = -0.12 (hot vs. cold words), _d_ = -0.02 (hot vs. neutral words); Study 2B: _d_ = -0.06 (hot vs. cold words), _d_ = 0.00 (hot vs. neutral words) (both experiments replicate procedure from Study 2); Meta-analysis: _d_ = 0.18."
Social Psychology,Honesty priming,"​​Honesty priming** (goal-priming, social priming). An increased level of honesty to embarrassing behaviours after exposure to honesty-related words","Pashler et al.: Experiment 1: _d_ = 0.18 (non-significant; not replicated); Experiment 2: _d_ = -0.14 (non-significant; opposite direction); Experiment 3: Measure 1: _d _= -0.14 (non-significant; opposite direction; estimated from test statistics in paper), Measure 2: _d_ = -0.13 (non-significant; opposite direction; estimated from test statistics in paper); Experiment 4: Measure 1: _d_ = 0.04 (non-significant; not replicated; estimated from descriptive statistics), Measure 2: _d_ = -0.14 (non-significant; opposite direction; estimated from descriptive statistics). Dalal and Hakel : _d _= -0.07 (non-significant; opposite direction; estimated from descriptive statistics in Table 2 (to get _N_ of groups) and 3 (to get the means and standard deviations)."
Social Psychology,Achievement priming,"goal priming, high-performance goal priming). Exposing individuals to words that are success oriented (e.g., win, strive) will increase their performance on a task compared to those exposed to neutral words (e.g., carpet, shampoo).​","Shantz and Latham: Participants either shown a picture of a woman winning a race or not to prime achievement, Pilot Study: _d_ = 0.84 (replicated); Field Experiment: _d_ = 0.43 (replicated). Harris et al. : Experiment 1 (direct replication of Experiment 1 in Bargh et al., 2001): _d_ = -0.24 [0.15, -0.64] (not replicated); Experiment 2 (direct replication of Experiment 3 in Bargh et al., 2001): _d_ = -0.03 [0.45, -0.52] (not replicated). Weingarten et al.: The meta-analysis looked at all priming experiments that examined behaviour (i.e., not just achievement priming). It found that there is a small effect of behavioural priming (_d_ = 0.35 [0.29, 0.41]). Factors that affected the priming effects were: Publication status - Published (_n_ = 255 studies): _d_ = 0.39 [0.33, 0.44], Unpublished (_n_ = 88 studies): _d_ = 0.10 [0.01, 0.20]; Liminality - Supraliminal (_n_ = 255 studies): _d_ = 0.30 [0.24, 0.36; this is the method used in Bargh et al., 2001], Subliminal (_n_ = 88 studies): _d_ = 0.40 [0.30, 0.51]; Use of neutral control - No neutral control (_n_ = 38 studies): _d_ = 0.44 [0.27, 0.60], With neutral control (_n_ = 307 studies): _d_ = 0.31 [0.25, 0.37]."
Social Psychology,Weapons priming effect,"weapons effect). Stimuli or cues associated with aggression, such as weapons, can elicit aggressive responses","Turner and Simons: _d_ = -1.17 to 0.64 (reported in [Carlson et al., 1990](https://doi.org/10.1037/0022-3514.58.4.622)); the greater the evaluation apprehension, the less likely aggressive behaviour was observed (mixed). Frodi: _d_ = 0.91 (reported in [Carlson et al., 1990](https://doi.org/10.1037/0022-3514.58.4.622)) (replicated). Carlson et al.: _d_ = 0.38 (replicated). Benjamin et al. : _d_ = 0.29 [0.21, 0.36] (replicated); The effect is moderated by several variables : Smaller if looked at behaviour (_d_ = 0.25 [0.07, 0.43]), educed for “field” experiments (_d_ = 0.22 [-0.07, 0.51]), larger when photos used (_d_ = 0.35 [0.26, 0.44]) rather than actual weapons (_d_ = 0.12 [-0.08, 0.31]). Ariel et al. : The presence of a taser on the officer led to Increased use of force, IRR = 1.48 [1.27, 1.72] (replicated); Increased injury to officers, IRR = 2.11[1.53, 2.91] (replicated)."
Social Psychology,Goal priming effect,"goal contagion, goal inspiration, behavioural inspiration). The observation of other’ behaviour (e.g., your observe someone jogging in the park) may lead to the inference of the goal in the observer (“This person wants to keep fit.”) and to the adoption of the same goal (“Maybe I should do some sports too.”","Corcoran et al. : _g_ = -0.20 [-0.42, 0.02] (reported in Brohmer et al.’s meta analysis); Brohmer et al. : _g_ = 0.30 [0.21, 0.40], but the bias-corrected meta-analytic summary effect (selection model approach) is _g_ = 0.15 [-0.02; 0.32]."
Social Psychology,Olfactory priming of cleaning behaviour,"scent priming, sensory priming). People who were exposed to a lemon scent were more likely to engage in a range of cleaning-related behaviours and have more rapid access to cleaning-related concepts, compared to people who were not exposed to a lemon-scent. This finding suggests that olfactory cues can be processed unconsciously and impact people’s cognition and downstream behaviour",De Lange et al.: _d_ =1.02.
Social Psychology,Verbal framing (temporal tense),Participants who read what a person **was doing** (relative to those who read what person **did**) showed enhanced accessibility of intention-related concepts and attributed more intentionality to the person,All effect sizes are located in Eerland et al. 2016: intentionality: Arnal (lab): _d_ = -0.35. Berger (lab): _d_ = -0.98. Birt and Aucoin (lab): _d_ = -0.38. Eerland et al. (lab): _d_ =0.16. Eerland et al.(online): _d_ = -0.33. Ferretti (lab): _d_ = -0.01. Knepp (lab): _d_ = -0.95. Kurby and Kibbe (lab): _d_ = -0.14. Melcher (lab): _d_ = 0.65. Michael (lab): _d_ = -0.41. Poirier et al. (lab): _d_ = 0.32. Prenoveau and Carlucci (lab): _d_ =  -0.38.  Meta-analytic estimate for laboratory replications only: _d_ =  -0.24. Imagery: Arnal (lab): _d_ = −0.01. Berger (lab): _d_ = −0.45. Birt and Aucoin (lab): _d_ = −0.40. Eerland et al. (lab): _d_ =−0.01. Eerland et al.(online): _d_ = -−0.13. Ferretti (lab): _d_ = 0.33. Knepp (lab): _d_ = 0.00. Kurby and Kibbe (lab): _d_ =  0.02. Melcher (lab): _d_ = −0.16. Michael (lab): _d_ = -0.08. Poirier et al. (lab): _d_ = -0.19. Prenoveau and Carlucci (lab): _d_ =  -0.02.  Meta-analytic estimate for laboratory replications only: _d_ =  -0.08. Intention attribution: Arnal (lab): _d_ = -0.15. Berger (lab): _d_ = -0.15. Birt and Aucoin (lab): _d_ = 0.08. Eerland et al. (lab): _d_ =-0.01. Eerland et al.(online): _d_ = 0.02. Ferretti (lab): _d_ = -0.19. Knepp (lab): _d_ = -0.29. Kurby and Kibbe (lab): _d_ = 0.00. Melcher (lab): _d_ = 0.12. Michael (lab): _d_ = 0.13. Poirier et al. (lab): _d_ = 0.06. Prenoveau and Carlucci (lab): _d_ =  0.03.  Meta-analytic estimate for laboratory replications: _d_ =  0.00.
Social Psychology,Reference framing,"Risk preferences change depending on whether a choice is presented in terms of gains or losses, even when the prospects of the options are held constant.​","log OR = -1.570 [-1.766, -1.374] (replicated)."
Social Psychology,Prosocial spending,Spending money on other people leads to greater happiness than spending money on oneself,"Experiment 1: positive affect: _d_ = .36, positive emotion: _d_ = .32; Experiment 2: positive affect: _d_ = .03, positive emotion: _d_ = .02; Experiment 3: positive affect: _d_ = .06, positive emotion:  _d_ = .06, positive meotion after spending one’s own money: _d_ = .17."
