Discipline,Effect,Description,Original effect size
Social Psychology,Elderly priming,that hearing about old age makes people walk slower,not reported. ​
Social Psychology,Hostility priming (unscrambled sentences),Exposing participants to more hostility-related stimuli caused them subsequently to interpret ambiguous behaviours as more hostile,2.99 (XX = 1.58%).
Social Psychology,Intelligence priming (contemplation),professor priming).** Participants primed with a category associated with intelligence (e.g. “professor”) performed 13% better on a trivia test than participants primed with a category associated with a lack of intelligence (“soccer hooligans”,PD = 13.20%.
Social Psychology,Moral priming (cleanliness),Participants exposed to physical cleanliness were shown to reduce the severity of their moral judgments,"Study 1: ηp2 = .09 [reported in Schnall et al., 2008]/  d = -0.60 [-1.23, 0.04] [reported in Johnson et al., 2014]; Study 2: ηp2 = .16 [reported in Schnall et al., 2008]/d = -0.85 [-1.47, -0.22] [reported in Johnson et al., 2014]."
Social Psychology,Moral priming (contemplation),Participants exposed to a moral-reminder prime would demonstrate reduced cheating,"not reported; commandants-cheat versus books-cheat: d = -1.45[-2.61, -0.29] [obtained from the Verschuere et al.’s 2018 meta analysis Figure 2], commandants-cheat versus commandants-control: d = -0.35 [–1.26, 0.57] [obtained from the Verschuere et al.’s 2018 meta analysis Figure 3]."
Social Psychology,Distance priming,"Participants primed with distance compared to closeness produced greater enjoyment of media depicting embarrassment (Study 1), less emotional distress from violent media (Study 2), lower estimates of the number of calories in unhealthy food (Study 3), and weaker reports of emotional attachments to family members and hometowns (Study 4",η2=.09​/ d=0.31 [converted from partial eta squared to Cohen’s d using this [conversion](https://haiyangjin.github.io/2020/05/eta2d/#conversion-between-cohens-d-and-partial-eta-squared)].
Social Psychology,Flag priming,Participants primed by a flag are more likely to be more in conservative positions than those in the control condition,d = 0.50.
Social Psychology,Fluency priming,"Objects that are fluent (e.g., conceptually fluent, visually fluent) are perceived more concretely than objects that are disfluent (disfluent objects are perceived more abstractly","r = 0.13/ d = 0.26 [converted, using [escal](https://www.escal.site/)]. "
Social Psychology,Money priming,"Images or phrases related to money cause increased faith in capitalism, and the belief that victims deserve their fate","system justification d = 0.8, just world d = 0.44, dominance d = 0.51, fair market ideology: not reported, d = 0.70 [obtained from Rohrer's 2015 Experiment 4 results section]."
Social Psychology,Commitment priming (recall),Participants exposed to a high-commitment prime would exhibit greater forgiveness,d = -0.65.
Social Psychology,Mortality Salience,"Death Priming/Terror Management Theory). Reminders of death lead to subconscious changes in attitudes and behaviour, for example in the form of increased in-group bias and behaviour that serves to defend an individual’s cultural worldview",Meta-analytic effect of d = .82 for mortality salience (reported in Burke et al. 2010).
Social Psychology,Spatial priming for emotional closeness,Plotting points closer together led to participants reporting they were closer to their own family members than those who plotted points farther apart,Study 1: η2 = .09/d = 0.10 [converted from partial eta squared to Cohen’s d using this [conversion](https://haiyangjin.github.io/2020/05/eta2d/#conversion-between-cohens-d-and-partial-eta-squared)]; Study 2: η2 = .18/d = 0.22 [converted from partial eta squared to Cohen’s d using this [conversion](https://haiyangjin.github.io/2020/05/eta2d/#conversion-between-cohens-d-and-partial-eta-squared)]; Study 3: η2 = .10/d = 0.11[converted from partial eta squared to Cohen’s d using this [conversion](https://haiyangjin.github.io/2020/05/eta2d/#conversion-between-cohens-d-and-partial-eta-squared)]; Study 4: η2 = .11/d = 0.12 [converted from partial eta squared to Cohen’s d using this [conversion](https://haiyangjin.github.io/2020/05/eta2d/#conversion-between-cohens-d-and-partial-eta-squared)].
Social Psychology,Implicit God prime increases self-reported risky behaviour,Implicitly priming God using the scrambled-sentence paradigm increases self-reported risk taking,"Experiment 1a: d=0.574 [0.05, 1.09]; Experiment 1b: d=0.323 [0.04,0.60]."
Social Psychology,Implicit God prime increases actual risky behaviour,Implicitly priming God using the scrambled-sentence paradigm increases willingness to engage in risky behaviour for financial reward,Experiment 3: b=0.61.
Social Psychology,Implicit religious priming,Implicitly priming god concepts by unscrambling sentences with words relating to religion increases prosocial behaviour in an anonymous economic game,"Study 1, d=1.07; Study 2, d=0.71."
Social Psychology,Heat priming,Exposure to words related to hot temperatures increases aggressive thoughts and hostile perceptions. This effect suggests that people mentally associate heat-related constructs with aggression-related constructs,"Study 1: d = 0.47 (hot vs. cold words), d = 0.46 (hot vs. neutral words); Study 2: d = 0.67 (hot vs. cold words), d = 0.63 (hot vs. neutral words)."
Social Psychology,Honesty priming,"​​Honesty priming** (goal-priming, social priming). An increased level of honesty to embarrassing behaviours after exposure to honesty-related words",d = 1.21 (estimated from test-statistics in paper).
Social Psychology,Achievement priming,"goal priming, high-performance goal priming). Exposing individuals to words that are success oriented (e.g., win, strive) will increase their performance on a task compared to those exposed to neutral words (e.g., carpet, shampoo).​",
Social Psychology,Weapons priming effect,"weapons effect). Stimuli or cues associated with aggression, such as weapons, can elicit aggressive responses",all reported effect sizes are found in Carlson et al.:  d = 0.76 to 1.06. 
Social Psychology,Goal priming effect,"goal contagion, goal inspiration, behavioural inspiration). The observation of other’ behaviour (e.g., your observe someone jogging in the park) may lead to the inference of the goal in the observer (“This person wants to keep fit.”) and to the adoption of the same goal (“Maybe I should do some sports too.”","main effect of goal vs control: g = 0.38 [-0.05, 0.81] (based on F statistics: F(1,79) = 3.14, p &lt; .08; original authors also report Goal x Need interaction effect, F(1, 79) = 5.32, p &lt; .03)."
Social Psychology,Olfactory priming of cleaning behaviour,"scent priming, sensory priming). People who were exposed to a lemon scent were more likely to engage in a range of cleaning-related behaviours and have more rapid access to cleaning-related concepts, compared to people who were not exposed to a lemon-scent. This finding suggests that olfactory cues can be processed unconsciously and impact people’s cognition and downstream behaviour","Experiment 1 -ηp2=.08 (F-value =4.33), Experiment 2 - OR=4.63, d=0.845 (χ2=4.91), Experiment 3 - ηp2=.23 (d=0.48, calculated from means and SDs estimated from t-value: Lemon M=3.54, SD=2.219, Control M=1.09, SD=7.21; note however that these values suggest a non-significant p-value in Experiment 3)."
