Discipline,Effect,Description,Critique,Link,doi,Notes,Citations,N critique
Social Psychology,Elderly priming,that hearing about old age makes people walk slower,Doyen 2012,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0029081#s2,10.1371/journal.pone.0029081#s2,"n=120,","757 (GS, October 2021)",120
Social Psychology,Elderly priming,that hearing about old age makes people walk slower,Lakens 2017,https://psyarxiv.com/3m5y9,,meta analysis:,"21 (GS, October 2021)",
Social Psychology,Elderly priming,that hearing about old age makes people walk slower,Pashler et al. 2011,https://web.archive.org/web/20170923093613/http://www.psychfiledrawer.org/replication.php?attempt=MTU%3D,,"n=66,","21 (GS, October 2021)",66
Social Psychology,Hostility priming (unscrambled sentences),Exposing participants to more hostility-related stimuli caused them subsequently to interpret ambiguous behaviours as more hostile,McCarthy et al. 2018,https://journals.sagepub.com/doi/full/10.1177/2515245918777487#abstract,10.1177/2515245918777487#abstract,"n = 7,373 for Study 1,","40 (GS, November 2021)","7,373"
Social Psychology,Hostility priming (unscrambled sentences),Exposing participants to more hostility-related stimuli caused them subsequently to interpret ambiguous behaviours as more hostile,McCarthy et al. 2021,https://online.ucpress.edu/collabra/article/7/1/18738/116070/A-Multi-Site-Collaborative-Study-of-the-Hostile,,"(see Figure) n = 1,402 for close replication; n = 1,641 for conceptual replication,","2 (GS, November 2021)","1,402 & 1,641"
Social Psychology,Intelligence priming (contemplation),professor priming).** Participants primed with a category associated with intelligence (e.g. “professor”) performed 13% better on a trivia test than participants primed with a category associated with a lack of intelligence (“soccer hooligans”,O’Donnell et al. 2018,https://journals.sagepub.com/doi/full/10.1177/1745691618755704,10.1177/1745691618755704,"n = 4,493 who met the inclusion criteria; n = 6,454 in supplementary materials,",71 (GS November 2021),"4,493 & 6,454"
Social Psychology,Moral priming (cleanliness),Participants exposed to physical cleanliness were shown to reduce the severity of their moral judgments,Johnson et al.  2014,https://econtent.hogrefe.com/doi/full/10.1027/1864-9335/a000186,10.1027/1864-9335,"Study 1: n = 208, Study 2: n = 126,",128 (GS November 2021),208 & 126
Social Psychology,Moral priming (contemplation),Participants exposed to a moral-reminder prime would demonstrate reduced cheating,Verschuere et al. 2018,https://journals.sagepub.com/doi/pdf/10.1177/2515245918781032,10.1177/2515245918781032,"n = 5786 replication of Experiment 1,",65 (GS November 2021),5786
Social Psychology,Distance priming,"Participants primed with distance compared to closeness produced greater enjoyment of media depicting embarrassment (Study 1), less emotional distress from violent media (Study 2), lower estimates of the number of calories in unhealthy food (Study 3), and weaker reports of emotional attachments to family members and hometowns (Study 4",Pashler 2021,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0042510#references,10.1371/journal.pone.0042510#references,"n=92,","185 (GS, October 2021)",92
Social Psychology,Flag priming,Participants primed by a flag are more likely to be more in conservative positions than those in the control condition,Klein et al. 2014,https://psycnet.apa.org/fulltext/2014-20922-002.html,,"n=6,082,","957 (GS, October 2021)","6,082"
Social Psychology,Fluency priming,"Objects that are fluent (e.g., conceptually fluent, visually fluent) are perceived more concretely than objects that are disfluent (disfluent objects are perceived more abstractly",Klein et al. 2014,https://psycnet.apa.org/fulltext/2014-20922-002.html,,"n=1146,","957 (GS,October 2021)",1146
Social Psychology,Money priming,"Images or phrases related to money cause increased faith in capitalism, and the belief that victims deserve their fate",Rohrer 2015,http://uweb.cas.usf.edu/~drohrer/pdfs/Rohrer_et_al_2015JEPG.pdf,,"n=136,","82 (GS, November 2021)",136
Social Psychology,Money priming,"Images or phrases related to money cause increased faith in capitalism, and the belief that victims deserve their fate",Lodder 2019,https://osf.io/3sh5a/,,"k=246,","64 (GS, November 2021)",
