Discipline,Effect,Description
Social Psychology,Elderly priming,that hearing about old age makes people walk slower.
Social Psychology,Hostility priming (unscrambled sentences),Exposing participants to more hostility-related stimuli caused them subsequently to interpret ambiguous behaviours as more hostile.
Social Psychology,Intelligence priming (contemplation),* **Intelligence priming (contemplation) (professor priming).** Participants primed with a category associated with intelligence (e.g. “professor”) performed 13% better on a trivia test than participants primed with a category associated with a lack of intelligence (“soccer hooligans”).
Social Psychology,Moral priming (cleanliness),Participants exposed to physical cleanliness were shown to reduce the severity of their moral judgments.
Social Psychology,Moral priming (contemplation),Participants exposed to a moral-reminder prime would demonstrate reduced cheating.
Social Psychology,Distance priming,"Participants primed with distance compared to closeness produced greater enjoyment of media depicting embarrassment (Study 1), less emotional distress from violent media (Study 2), lower estimates of the number of calories in unhealthy food (Study 3), and weaker reports of emotional attachments to family members and hometowns (Study 4)."
Social Psychology,Flag priming,* **Flag priming. **Participants primed by a flag are more likely to be more in conservative positions than those in the control condition.
Social Psychology,Fluency priming,"* **Fluency priming. **Objects that are fluent (e.g., conceptually fluent, visually fluent) are perceived more concretely than objects that are disfluent (disfluent objects are perceived more abstractly)."
Social Psychology,Money priming,"Images or phrases related to money cause increased faith in capitalism, and the belief that victims deserve their fate."
Social Psychology,Commitment priming (recall),Participants exposed to a high-commitment prime would exhibit greater forgiveness.
Social Psychology,Mortality Salience,"* **Mortality Salience** (Death Priming/Terror Management Theory). Reminders of death lead to subconscious changes in attitudes and behaviour, for example in the form of increased in-group bias and behaviour that serves to defend an individual’s cultural worldview."
Social Psychology,Spatial priming for emotional closeness,Plotting points closer together led to participants reporting they were closer to their own family members than those who plotted points farther apart.
Social Psychology,Implicit God prime increases self-reported risky behaviour,Implicitly priming God using the scrambled-sentence paradigm increases self-reported risk taking.
Social Psychology,Implicit God prime increases actual risky behaviour,Implicitly priming God using the scrambled-sentence paradigm increases willingness to engage in risky behaviour for financial reward.
Social Psychology,Implicit religious priming,Implicitly priming god concepts by unscrambling sentences with words relating to religion increases prosocial behaviour in an anonymous economic game.
Social Psychology,Heat priming,Exposure to words related to hot temperatures increases aggressive thoughts and hostile perceptions. This effect suggests that people mentally associate heat-related constructs with aggression-related constructs.
Social Psychology,Honesty priming,"* **​​Honesty priming** (goal-priming, social priming). An increased level of honesty to embarrassing behaviours after exposure to honesty-related words."
Social Psychology,Achievement priming,"* **Achievement priming **(goal priming, high-performance goal priming). Exposing individuals to words that are success oriented (e.g., win, strive) will increase their performance on a task compared to those exposed to neutral words (e.g., carpet, shampoo).​"
Social Psychology,Weapons priming effect,"* **Weapons priming effect **(weapons effect). Stimuli or cues associated with aggression, such as weapons, can elicit aggressive responses."
Social Psychology,Goal priming effect,"* **Goal priming effect** (goal contagion, goal inspiration, behavioural inspiration). The observation of other’ behaviour (e.g., your observe someone jogging in the park) may lead to the inference of the goal in the observer (“This person wants to keep fit.”) and to the adoption of the same goal (“Maybe I should do some sports too.”)."
Social Psychology,Olfactory priming of cleaning behaviour,"* **Olfactory priming of cleaning behaviour** (scent priming, sensory priming). People who were exposed to a lemon scent were more likely to engage in a range of cleaning-related behaviours and have more rapid access to cleaning-related concepts, compared to people who were not exposed to a lemon-scent. This finding suggests that olfactory cues can be processed unconsciously and impact people’s cognition and downstream behaviour."
Social Psychology,Verbal framing (temporal tense),Participants who read what a person **was doing** (relative to those who read what person **did**) showed enhanced accessibility of intention-related concepts and attributed more intentionality to the person.
Social Psychology,Reference framing,"* **Reference framing. **Risk preferences change depending on whether a choice is presented in terms of gains or losses, even when the prospects of the options are held constant.​"
Social Psychology,Prosocial spending,Spending money on other people leads to greater happiness than spending money on oneself.
Social Psychology,Gustatory disgust on moral judgement,Gustatory disgust triggers a heightened sense of moral wrongness.
Social Psychology,Macbeth effect,Moral aspersions induce literal physical hygiene.
Social Psychology,Signing at the beginning rather than end makes ethics salient,Signing a statement of honest intent before providing information rather than after can reduce dishonesty.
Social Psychology,Social class on prosocial behaviour,"Individuals from a high social class are more likely to exhibit prosocial behaviour than those from a low social class, but there is a U-shaped curve between social class and prosocial behaviour that sometimes appears."
Social Psychology,Stanford Prison Experiment,"* **Stanford Prison Experiment** employed a simulation of a prison environment to  examine the psychological effects of coercive situations. Utilising role-playing, labelling and social expectations it showed that one third of participants in the role of prison guards displayed aggressive and dehumanising behaviour."
Social Psychology,Milgram experiment,"* **Milgram experiment **was a study examining the influence of authority on immoral behaviour. Participants were assigned the role of ‘teachers’ and they were instructed by the experimentator to administer electric shocks** **of** **15-450 V voltage, whenever the ‘learner’  made a mistake. There were various variants of the study. In the most basic one, 100% of participants agree to administer a 300 V shock and 65% agreed to apply to maximum shock of 450 V."
Social Psychology,Robbers Cave Study,"Utilised arbitrary groupings to demonstrate that tribalism between groups arises spontaneously, and depending on the context, it can result in group competition (e.g., in case of scarce resources) or group cooperation (e.g., in case of superordinate goals and common obstacles)**. **"
Social Psychology,Digital technology use and adolescent wellbeing,* **Digital technology use and adolescent wellbeing. **Adolescents who spend more time on new media (including social media and electronic devices such as smartphones) are more likely to report mental health issues.
Social Psychology,Anthropomorphism,"* **Anthropomorphism. **Individuals who are lonely are more likely than people who are not lonely to attribute humanlike traits (e.g., free will) to nonhuman agents (e.g., an alarm clock),to fulfil unmet needs for belongingness."
Social Psychology,Female-named hurricanes are more deadly than male-named ones,"Original effect size was a 176% increase in deaths, driven entirely by four outliers; reanalysis using a greatly expanded historical dataset found a nonsignificant decrease in deaths from female named storms."
Social Psychology,Implicit bias testing for racism,"Implicit bias scores poorly predict actual bias, _r_ = 0.15. The operationalisations used to measure that predictive power are often unrelated to actual discrimination (e.g. ambiguous brain activations). Test-retest reliability of 0.44 for race, which is usually classed as “unacceptable”. This isn’t news; the original study also found very low test-criterion correlations."
Social Psychology,Pygmalion effect,"* **Pygmalion effect** (Rosenthal Effect, self-fulfilling prophecy). Expectations about performance (e.g., academic achievement) impact performance. Specifically, teachers' expectations about their students’ abilities affect those students’ academic achievement; teacher beliefs impact their behaviour which in turn impacts student beliefs and behaviour."
Social Psychology,Stereotype threat on Asian women’s mathematical performance,"* **Stereotype threat on Asian women’s mathematical performance** (stereotype lift), i.e. the interaction between race, gender and stereotyping. This study found that Asian-American women performed better on a maths test when their ethnic identity was activated, but worse when their gender identity was activated, compared with a control group who had neither identity activated."
Social Psychology,Stereotype threat on girls’ mathematical performance,"* **Stereotype threat on girls’ mathematical performance. **A situational phenomenon whereby priming a negative gender stereotype (e.g., “women are bad at maths”) has a detrimental impact on mathematical performance."
Social Psychology,Increase in narcissism,"* **Increase in narcissism** (leadership, vanity, entitlement) in young people over the last thirty years. It's [an ancient hypothesis.](https://quoteinvestigator.com/2010/05/01/misbehave) The basic counterargument is that they’re misidentifying an age effect as a cohort effect (The narcissism construct [apparently](https://journals.sagepub.com/doi/abs/10.1177/1745691609357019) decreases by about a standard deviation between adolescence and retirement.) “every generation is Generation Me”."
Social Psychology,Minimal group effect (MGE),"* **Minimal group effect** **(MGE)** (Minimal group paradigm). An intergroup bias that manifests as ingroup favouritism (i.e., a tendency to prefer ingroup members) when participants are assigned to previously unfamiliar, experimentally created and largely meaningless social identities. In essence, the paradigm investigates the impact of social categorization on intergroup relations in the absence of realistic conflicts of interests, showing that mere social categorization is sufficient to produce ingroup favouritism."
Social Psychology,Solomon Asch’s conformity,* **Solomon Asch’s conformity study. **The degree to which a person's own opinions are influenced by those of a group.
Social Psychology,Dynamic norms,Information about increasing minority norms increases interest/engagement in minority behaviour.​
Social Psychology,Social comparison,No robust evidence for an interaction effect between body dissatisfaction and social comparison on fat talk.
Social Psychology,Bystander effect,* **Bystander effect:** claims that the feeling of responsibility diffuses with an increasing number of other observers. Research about the bystander effect was sparked by the 1964 murder of Catherine “Kitty” Genovese. See this _[New York Times article](https://www.nytimes.com/1964/03/27/archives/37-who-saw-murder-didnt-call-the-police-apathy-at-stabbing-of.html)_ for details. Here’s a more detailed [resource](http://bps.stanford.edu/?page_id=3671).
Social Psychology,Colour red on attractiveness,Viewing the colour red enhances men's attraction to women. In a lingua franca this effect may reflect the amorous meaning in the human mating game. ​
Social Psychology,Big brother effect,Being watched makes someone more likely to cooperate.
Social Psychology,Imagined Contact - _Bias_,"* **Imagined Contact**. Imagining social contact (instead of having actual contact) with someone from an outgroup (based on e.g., ethnicity, sexuality, religion, age) can reduce intergroup bias."
Social Psychology,Imagined Contact -  _Intentions_,"* **Imagined Contact**. the claim that imagining social contact (instead of having actual contact) with someone from an outgroup (based on e.g., ethnicity, sexuality, religion, age) can increase **contact intentions.**"
Social Psychology,Stereotype susceptibility effects,Awareness of stereotypes about a person’s in-group can affect a person’s behaviour and performance when they complete a stereotype-relevant task.​
Social Psychology,Positive mood-boost helping effect,People are more likely to do good when feeling good.
