Discipline,Effect,Description,Paper title,Paper ref,Link,doi,Paper Notes,Citations,N orig
Social Psychology,Elderly priming,that hearing about old age makes people walk slower,Automaticity of social behaviour,Bargh 1996,"https://scholar.google.com/scholar?cluster=3335859380278379099&hl=en&as_sdt=0,5&sciodt=0,5",,"2 experiments with Study 2a: n = 30, Study 2b: n = 30","5938(GS, October 2021)]​",30 & 30
Social Psychology,Hostility priming (unscrambled sentences),Exposing participants to more hostility-related stimuli caused them subsequently to interpret ambiguous behaviours as more hostile,The role of category accessibility in the interpretation of information about persons: Some determinants and implications,"Srull  and Wyer, Jr. 1979",http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.335.4255&rep=rep1&type=pdf,,2 experiments with Study 1: n = 96; Study 2: n = 96,"2409 (GS, November 2021)",96 & 96
Social Psychology,Intelligence priming (contemplation),professor priming).** Participants primed with a category associated with intelligence (e.g. “professor”) performed 13% better on a trivia test than participants primed with a category associated with a lack of intelligence (“soccer hooligans”,"The relation between perception and behavior, or how to win a game of trivial pursuit",Dijksterhuis  and van Knippenberg 1998,https://psycnet.apa.org/buy/1998-01060-003,,4 experiments with Study 1: n = 60; Study 2: n = 58; Study 3: n = 95; Study 4: n = 43,1124 (GS November 2021),60 & 58 & 95 & 43
Social Psychology,Moral priming (cleanliness),Participants exposed to physical cleanliness were shown to reduce the severity of their moral judgments,With a Clean Conscience: Cleanliness Reduces the Severity of Moral Judgments,"Schnall, Benton, and Harvey 2008",https://journals.sagepub.com/doi/full/10.1111/j.1467-9280.2008.02227.x?casa_token=uRH1oAgdskoAAAAA%3Ahf7TyDhog_mLb75lVnxJOKHMb4NrxHwHqbwxFd0p76Cwwp492JBrXNPuadQB-9VxBm1SqLEJyPSv,10.1111/j.1467-9280.2008.02227.x?casa_token=uRH1oAgdskoAAAAA:hf7TyDhog_mLb75lVnxJOKHMb4NrxHwHqbwxFd0p76Cwwp492JBrXNPuadQB-9VxBm1SqLEJyPSv,"2 experiments with Study 1: n = 40, Study 2: n = 44",645 (GS November 2021),40 & 44
Social Psychology,Moral priming (contemplation),Participants exposed to a moral-reminder prime would demonstrate reduced cheating,The Dishonesty of Honest People: A Theory of Self-Concept Maintenance,Mazar et al. 2008,https://journals.sagepub.com/doi/10.1509/jmkr.45.6.633,10.1509/jmkr.45.6.633,6 experiments with Study 1: n = 229; Study 2: n = 207;  Study 3: n = 450; Study 4: n = 44; Study 5: n = 108; Study 6: n =  326,3072 (GS November 2021),229 & 207 & 450 & 44 & 108 & 326
Social Psychology,Distance priming,"Participants primed with distance compared to closeness produced greater enjoyment of media depicting embarrassment (Study 1), less emotional distress from violent media (Study 2), lower estimates of the number of calories in unhealthy food (Study 3), and weaker reports of emotional attachments to family members and hometowns (Study 4",Keeping Ones Distance: The Influence of Spatial Distance Cues on Affect and Evaluation,Williams and Bargh 2008,https://journals.sagepub.com/doi/10.1111/j.1467-9280.2008.02084.x,10.1111/j.1467-9280.2008.02084.x,"4 studies with ns = 73, 42, 59 and 84","581(GS, October 2021)]​",
Social Psychology,Flag priming,Participants primed by a flag are more likely to be more in conservative positions than those in the control condition,"A Single Exposure to the American Flag Shifts Support Toward Republicanism up to 8 Months Later,",Carter et al. 2011,https://journals.sagepub.com/doi/full/10.1177/0956797611414726,10.1177/0956797611414726,"experimental design, 2 studies with n = 191 completed three sessions and 71 completed the fourth session, Experiment 2: n = 70","186 (GS, October 2021)",191 & 70
Social Psychology,Fluency priming,"Objects that are fluent (e.g., conceptually fluent, visually fluent) are perceived more concretely than objects that are disfluent (disfluent objects are perceived more abstractly","Effects of Fluency on Psychological Distance and Mental Construal (or Why New York Is a Large City, but New York Is a Civilized Jungle)",Alter and Oppenheimer 2008,https://journals.sagepub.com/doi/10.1111/j.1467-9280.2008.02062.x,10.1111/j.1467-9280.2008.02062.x,"experimental design, 3 studies, 2 of which are split into Part A and Part B with ns = 1A: 40 and 1B: 196; 2A: 32 and 2B: 230; Experiment 3: n = 70","304 (GS,  October 2021)",70
Social Psychology,Money priming,"Images or phrases related to money cause increased faith in capitalism, and the belief that victims deserve their fate",Mere exposure to money increases endorsement of free-market systems and social inequality,Caruso 2013,https://www.ncbi.nlm.nih.gov/pubmed/22774789,,"experimental design, n between 30 and 168","~161 (GS, November 2021)",
Social Psychology,Commitment priming (recall),Participants exposed to a high-commitment prime would exhibit greater forgiveness,Dealing with betrayal in close relationships: Does commitment promote forgiveness?,Finkel et al. 2002,https://faculty.wcas.northwestern.edu/eli-finkel/documents/Finkeletal_2002_000.pdf,,3 experiments with Study 1: n = 89; Study 2: n = 155; Study 3: n = 78,"~ 1108(GS, November 2021)",89 & 155 & 78
Social Psychology,Mortality Salience,"Death Priming/Terror Management Theory). Reminders of death lead to subconscious changes in attitudes and behaviour, for example in the form of increased in-group bias and behaviour that serves to defend an individual’s cultural worldview",Role of Consciousness and Accessibility of Death-Related Thoughts in Mortality Salience Effects,Greenberg et al. 1994,https://www.researchgate.net/profile/Tom-Pyszczynski/publication/15232849_Role_of_Consciousness_and_Accessibility_of_Death-Related_Thoughts_in_Mortality_Salience_Effects/links/5ad51396aca272fdaf7c08d0/Role-of-Consciousness-and-Accessibility-of-Death-Related-Thoughts-in-Mortality-Salience-Effects.pdf,,"Experiment 1, n=58","1294 (GS, June 2022)]. A second original paper was [I am not an animal: Mortality salience, disgust, and the denial of human creatureliness](https://psycnet.apa.org/doiLanding?doi=10.1037%2F0096-3445.130.3.427), Goldberg et al. 2001; two experiments n1=77, n2 = 44. [citations=501 (GS, March 2023)",58
Social Psychology,Spatial priming for emotional closeness,Plotting points closer together led to participants reporting they were closer to their own family members than those who plotted points farther apart,Keeping Ones Distance: The effect of spatial distance cues on affect and emotion,Lawrence and Bargh 2008,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2394280/,,4 experiments with Study 1: n = 73; Study 2: n = 42; Study 3: n = 59; Study 4: n = 84,"583 (GS, January 2022)",73 & 42 & 59 & 84
Social Psychology,Implicit God prime increases self-reported risky behaviour,Implicitly priming God using the scrambled-sentence paradigm increases self-reported risk taking,Anticipating divine protection? Reminders of god can increase nonmoral risk taking,Kupor et al. 2015,https://journals.sagepub.com/doi/abs/10.1177/0956797614563108,10.1177/0956797614563108,"experimental design, Experiment 1a: n=61 and Experiment 1b: n=202","76 (GS, November 2022)",61 & 202
Social Psychology,Implicit God prime increases actual risky behaviour,Implicitly priming God using the scrambled-sentence paradigm increases willingness to engage in risky behaviour for financial reward,Anticipating divine protection? Reminders of god can increase nonmoral risk taking,Kupor et al. 2015,https://journals.sagepub.com/doi/abs/10.1177/0956797614563108,10.1177/0956797614563108,Experiment 3: n=101,"76 (GS, November 2022)",101
Social Psychology,Implicit religious priming,Implicitly priming god concepts by unscrambling sentences with words relating to religion increases prosocial behaviour in an anonymous economic game,God is watching you: Priming god concepts increases prosocial behavior in an anonymous economic game,Shariff & Norenzayan 2007,https://journals.sagepub.com/doi/abs/10.1111/j.1467-9280.2007.01983.x,10.1111/j.1467-9280.2007.01983.x,"2 experiments, ns=50 in each experiment","1473 (GS, November 2021)",
Social Psychology,Heat priming,Exposure to words related to hot temperatures increases aggressive thoughts and hostile perceptions. This effect suggests that people mentally associate heat-related constructs with aggression-related constructs,Hot under the collar in a lukewarm environment: Words associated with hot temperature increase aggressive thoughts and hostile perceptions,DeWall & Bushman 2009,https://www.sciencedirect.com/science/article/abs/pii/S0022103109001152?via%3Dihub,,"2 experiments in which participants were first exposed to words related to either heat, cold, or neutral concepts and then completed a word stem completion task (Study 1; n=127) or had to rate persons hostility basing on ambiguous description of this person (Study 2; n=72)","76 (GS, June 2022)]​",127 & 72
